neighbourhood_group_n,neighbourhood_n,room_type_n,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
0,13,1,3,0,1,0
1,1,1,30,0,96,0
1,23,0,1,4,3,0
0,12,2,1,4,1,0
0,12,0,2,5,3,310
1,19,0,4,0,1,0
0,6,0,1,4,2,267
1,2,0,1,81,1,158
1,4,1,3,118,1,4
1,19,1,2,29,1,38
1,1,1,30,0,121,201
1,7,1,29,1,327,281
0,12,0,2,0,1,6
1,4,1,3,7,1,242
0,13,0,30,0,25,340
0,21,0,3,2,1,84
0,6,1,30,4,6,220
1,2,0,2,3,3,342
0,10,1,30,4,11,282
1,28,1,1,8,7,342
1,11,0,1,0,1,0
1,7,1,3,26,1,96
1,5,1,2,0,1,0
1,2,0,30,0,1,365
4,72,0,1,46,1,46
0,16,1,5,0,1,23
0,24,1,6,3,1,12
2,25,1,1,3,10,357
0,29,1,3,4,1,0
1,7,0,1,0,1,0
1,8,0,3,326,1,90
0,20,0,1,3,2,0
1,1,1,5,0,1,0
2,31,1,2,27,1,137
1,45,0,5,0,1,24
1,28,1,2,2,1,0
0,6,0,30,2,1,0
1,4,1,2,71,1,199
1,8,0,1,4,4,270
2,37,1,1,72,6,257
1,2,0,2,0,1,0
1,5,1,30,0,23,365
0,21,0,4,6,1,2
0,29,1,2,2,1,0
1,2,0,2,13,1,361
1,8,1,4,10,1,0
2,31,0,30,1,103,246
0,12,0,2,1,1,0
1,1,1,4,59,1,37
0,6,1,5,1,1,0
0,24,1,2,20,2,0
0,54,0,4,18,1,82
2,63,0,2,4,2,188
0,15,0,4,21,4,129
1,2,0,2,0,1,49
0,12,1,3,6,1,0
2,63,1,5,0,1,53
1,7,0,30,3,4,180
0,29,1,2,169,1,279
1,8,0,4,11,2,63
2,25,1,3,4,1,0
1,23,2,14,1,28,320
2,155,1,1,88,1,339
0,12,1,3,61,1,272
1,5,2,2,12,1,220
1,2,0,1,1,1,0
1,8,1,7,0,1,0
1,23,0,1,2,1,0
1,1,1,20,14,2,315
0,20,1,30,0,1,312
3,186,0,1,7,1,358
0,21,0,1,69,3,87
0,12,0,2,55,4,281
4,141,0,3,4,1,76
2,126,1,3,88,1,303
0,21,0,1,25,8,177
0,13,0,2,1,1,327
0,6,1,1,72,2,307
0,6,0,3,54,1,69
0,21,0,17,0,2,0
1,7,1,30,0,65,365
1,23,1,3,49,1,1
2,85,0,1,190,5,359
1,8,0,2,51,4,219
2,25,1,1,30,1,6
0,17,1,10,0,2,49
1,8,1,2,2,1,0
0,21,0,5,0,1,0
2,37,0,2,65,6,361
1,8,1,1,0,1,0
0,21,0,1,68,3,168
0,12,1,29,0,7,0
0,70,0,30,0,2,364
1,14,0,2,134,1,66
0,3,1,15,0,1,0
1,64,1,2,0,1,324
0,12,1,3,0,3,7
0,15,1,1,2,1,0
1,19,1,2,280,3,257
1,4,1,1,30,1,144
1,5,1,1,0,1,0
0,24,0,2,0,1,0
4,142,0,1,0,1,363
1,19,1,2,78,1,270
0,12,0,2,0,2,64
0,24,1,12,17,1,32
0,12,0,21,0,1,0
0,16,0,2,7,1,0
0,20,1,10,0,1,83
1,19,0,2,8,2,0
0,24,1,5,0,1,0
0,21,0,1,9,4,55
1,1,1,30,2,1,342
0,6,0,1,59,1,188
1,7,0,1,4,1,365
0,147,1,2,56,1,1
0,16,1,5,0,1,38
2,162,0,1,0,1,179
0,12,0,2,7,1,0
0,36,1,1,67,2,146
2,25,1,7,0,1,0
0,33,1,7,0,1,0
0,38,1,2,23,1,60
0,22,1,5,3,1,0
0,100,1,5,6,3,90
2,56,0,2,4,1,0
2,124,1,3,0,1,32
1,1,0,2,17,1,190
0,12,0,2,3,2,0
1,2,0,1,41,4,132
1,4,1,2,31,1,272
0,20,0,5,0,1,0
1,30,1,1,126,4,318
1,1,1,2,33,1,227
0,20,0,2,6,1,20
0,97,1,2,3,2,0
0,6,1,3,24,2,69
1,8,1,2,11,1,212
2,63,0,1,34,2,87
2,46,0,2,2,1,180
2,44,0,2,27,1,190
0,12,1,10,3,3,284
2,56,0,2,4,2,177
0,6,1,5,3,1,0
1,23,1,1,4,1,0
1,28,0,2,88,1,107
0,24,0,28,5,3,297
1,2,0,5,3,1,0
